sku,location,period,qty,stock_end_qty,days_out_of_stock,promo_type,discount_pct,category,abc_class,launch_period,predecessor_sku,uom
SKU_0001,MSK,2023-01,243,174,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-02,179,150,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-03,168,193,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-04,204,232,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-05,153,199,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-06,226,126,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-07,283,503,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-08,290,153,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-09,268,141,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-10,330,135,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-11,1172,2056,0,TPR,25.0,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2023-12,334,575,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-01,281,499,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-02,282,231,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-03,241,292,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-04,185,265,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-05,230,130,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-06,256,414,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-07,281,318,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-08,320,374,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-09,350,487,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-10,385,480,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-11,1159,1199,0,TPR,25.0,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2024-12,316,187,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-01,318,510,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-02,278,429,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-03,279,490,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-04,232,360,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-05,260,458,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-06,299,186,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-07,303,517,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-08,363,377,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-09,388,345,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-10,475,647,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-11,391,182,0,,,SNACK,B,2023-01,,PCS
SKU_0001,MSK,2025-12,393,510,0,,,SNACK,B,2023-01,,PCS
SKU_0002,MSK,2023-01,26,27,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-02,34,36,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-03,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-04,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-05,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-06,0,2,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-07,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-08,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-09,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-10,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-11,29,25,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2023-12,26,35,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-01,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-02,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-03,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-04,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-05,45,75,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-06,47,65,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-07,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-08,41,63,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-09,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-10,0,2,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-11,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2024-12,28,20,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-01,0,2,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-02,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-03,0,0,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-04,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-05,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-06,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-07,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-08,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-09,0,1,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-10,35,62,0,,,DAIRY,C,2023-01,,PCS
SKU_0002,MSK,2025-11,0,1,0,,,DAIRY,C,2023-01,,PCS
