sku,period,abc_class,model_used,forecast,baseline_forecast
SKU_0001,2026-01,B,SESForecaster,337,393
SKU_0001,2026-02,B,SESForecaster,337,393
SKU_0001,2026-03,B,SESForecaster,337,393
SKU_0001,2026-04,B,SESForecaster,337,393
SKU_0001,2026-05,B,SESForecaster,337,393
SKU_0001,2026-06,B,SESForecaster,337,393
SKU_0001,2026-07,B,SESForecaster,337,393
SKU_0001,2026-08,B,SESForecaster,337,393
SKU_0001,2026-09,B,SESForecaster,337,393
SKU_0001,2026-10,B,SESForecaster,337,393
SKU_0001,2026-11,B,SESForecaster,337,393
SKU_0001,2026-12,B,SESForecaster,337,393
SKU_0001,2027-01,B,SESForecaster,337,393
SKU_0001,2027-02,B,SESForecaster,337,393
SKU_0001,2027-03,B,SESForecaster,337,393
SKU_0001,2027-04,B,SESForecaster,337,393
SKU_0001,2027-05,B,SESForecaster,337,393
SKU_0001,2027-06,B,SESForecaster,337,393
SKU_0001,2027-07,B,SESForecaster,337,393
SKU_0001,2027-08,B,SESForecaster,337,393
SKU_0001,2027-09,B,SESForecaster,337,393
SKU_0001,2027-10,B,SESForecaster,337,393
SKU_0001,2027-11,B,SESForecaster,337,393
SKU_0001,2027-12,B,SESForecaster,337,393
SKU_0001,2028-01,B,SESForecaster,337,393
SKU_0001,2028-02,B,SESForecaster,337,393
SKU_0001,2028-03,B,SESForecaster,337,393
SKU_0001,2028-04,B,SESForecaster,337,393
SKU_0001,2028-05,B,SESForecaster,337,393
SKU_0001,2028-06,B,SESForecaster,337,393
SKU_0001,2028-07,B,SESForecaster,337,393
SKU_0001,2028-08,B,SESForecaster,337,393
SKU_0001,2028-09,B,SESForecaster,337,393
SKU_0001,2028-10,B,SESForecaster,337,393
SKU_0001,2028-11,B,SESForecaster,337,393
SKU_0001,2028-12,B,SESForecaster,337,393
SKU_0002,2026-01,C,MovingAverageForecaster,12,0
SKU_0002,2026-02,C,MovingAverageForecaster,4,0
SKU_0002,2026-03,C,MovingAverageForecaster,5,0
SKU_0002,2026-04,C,MovingAverageForecaster,7,0
SKU_0002,2026-05,C,MovingAverageForecaster,5,0
SKU_0002,2026-06,C,MovingAverageForecaster,6,0
SKU_0002,2026-07,C,MovingAverageForecaster,6,0
SKU_0002,2026-08,C,MovingAverageForecaster,6,0
SKU_0002,2026-09,C,MovingAverageForecaster,6,0
SKU_0002,2026-10,C,MovingAverageForecaster,6,0
SKU_0002,2026-11,C,MovingAverageForecaster,6,0
SKU_0002,2026-12,C,MovingAverageForecaster,6,0
SKU_0002,2027-01,C,MovingAverageForecaster,6,0
SKU_0002,2027-02,C,MovingAverageForecaster,6,0
SKU_0002,2027-03,C,MovingAverageForecaster,6,0
SKU_0002,2027-04,C,MovingAverageForecaster,6,0
SKU_0002,2027-05,C,MovingAverageForecaster,6,0
SKU_0002,2027-06,C,MovingAverageForecaster,6,0
SKU_0002,2027-07,C,MovingAverageForecaster,6,0
SKU_0002,2027-08,C,MovingAverageForecaster,6,0
SKU_0002,2027-09,C,MovingAverageForecaster,6,0
SKU_0002,2027-10,C,MovingAverageForecaster,6,0
SKU_0002,2027-11,C,MovingAverageForecaster,6,0
SKU_0002,2027-12,C,MovingAverageForecaster,6,0
SKU_0002,2028-01,C,MovingAverageForecaster,6,0
SKU_0002,2028-02,C,MovingAverageForecaster,6,0
SKU_0002,2028-03,C,MovingAverageForecaster,6,0
SKU_0002,2028-04,C,MovingAverageForecaster,6,0
SKU_0002,2028-05,C,MovingAverageForecaster,6,0
SKU_0002,2028-06,C,MovingAverageForecaster,6,0
SKU_0002,2028-07,C,MovingAverageForecaster,6,0
SKU_0002,2028-08,C,MovingAverageForecaster,6,0
SKU_0002,2028-09,C,MovingAverageForecaster,6,0
SKU_0002,2028-10,C,MovingAverageForecaster,6,0
SKU_0002,2028-11,C,MovingAverageForecaster,6,0
SKU_0002,2028-12,C,MovingAverageForecaster,6,0
SKU_0003,2026-01,A,HoltWintersForecaster,1265,964
SKU_0003,2026-02,A,HoltWintersForecaster,947,964
SKU_0003,2026-03,A,HoltWintersForecaster,858,964
SKU_0003,2026-04,A,HoltWintersForecaster,871,964
SKU_0003,2026-05,A,HoltWintersForecaster,728,964
SKU_0003,2026-06,A,HoltWintersForecaster,662,964
SKU_0003,2026-07,A,HoltWintersForecaster,805,964
SKU_0003,2026-08,A,HoltWintersForecaster,865,964
SKU_0003,2026-09,A,HoltWintersForecaster,899,964
SKU_0003,2026-10,A,HoltWintersForecaster,1024,964
SKU_0003,2026-11,A,HoltWintersForecaster,1080,964
SKU_0003,2026-12,A,HoltWintersForecaster,1031,964
SKU_0003,2027-01,A,HoltWintersForecaster,1272,964
SKU_0003,2027-02,A,HoltWintersForecaster,954,964
SKU_0003,2027-03,A,HoltWintersForecaster,865,964
SKU_0003,2027-04,A,HoltWintersForecaster,878,964
SKU_0003,2027-05,A,HoltWintersForecaster,736,964
SKU_0003,2027-06,A,HoltWintersForecaster,669,964
SKU_0003,2027-07,A,HoltWintersForecaster,813,964
SKU_0003,2027-08,A,HoltWintersForecaster,872,964
SKU_0003,2027-09,A,HoltWintersForecaster,906,964
SKU_0003,2027-10,A,HoltWintersForecaster,1032,964
SKU_0003,2027-11,A,HoltWintersForecaster,1088,964
SKU_0003,2027-12,A,HoltWintersForecaster,1039,964
SKU_0003,2028-01,A,HoltWintersForecaster,1279,964
SKU_0003,2028-02,A,HoltWintersForecaster,962,964
SKU_0003,2028-03,A,HoltWintersForecaster,872,964
SKU_0003,2028-04,A,HoltWintersForecaster,885,964
SKU_0003,2028-05,A,HoltWintersForecaster,743,964
SKU_0003,2028-06,A,HoltWintersForecaster,677,964
SKU_0003,2028-07,A,HoltWintersForecaster,820,964
SKU_0003,2028-08,A,HoltWintersForecaster,879,964
SKU_0003,2028-09,A,HoltWintersForecaster,914,964
SKU_0003,2028-10,A,HoltWintersForecaster,1039,964
SKU_0003,2028-11,A,HoltWintersForecaster,1095,964
SKU_0003,2028-12,A,HoltWintersForecaster,1046,964
SKU_0004,2026-01,B,SESForecaster,642,648
SKU_0004,2026-02,B,SESForecaster,642,648
SKU_0004,2026-03,B,SESForecaster,642,648
SKU_0004,2026-04,B,SESForecaster,642,648
SKU_0004,2026-05,B,SESForecaster,642,648
SKU_0004,2026-06,B,SESForecaster,642,648
SKU_0004,2026-07,B,SESForecaster,642,648
SKU_0004,2026-08,B,SESForecaster,642,648
SKU_0004,2026-09,B,SESForecaster,642,648
SKU_0004,2026-10,B,SESForecaster,642,648
SKU_0004,2026-11,B,SESForecaster,642,648
SKU_0004,2026-12,B,SESForecaster,642,648
SKU_0004,2027-01,B,SESForecaster,642,648
SKU_0004,2027-02,B,SESForecaster,642,648
SKU_0004,2027-03,B,SESForecaster,642,648
SKU_0004,2027-04,B,SESForecaster,642,648
SKU_0004,2027-05,B,SESForecaster,642,648
SKU_0004,2027-06,B,SESForecaster,642,648
SKU_0004,2027-07,B,SESForecaster,642,648
SKU_0004,2027-08,B,SESForecaster,642,648
SKU_0004,2027-09,B,SESForecaster,642,648
SKU_0004,2027-10,B,SESForecaster,642,648
SKU_0004,2027-11,B,SESForecaster,642,648
SKU_0004,2027-12,B,SESForecaster,642,648
SKU_0004,2028-01,B,SESForecaster,642,648
SKU_0004,2028-02,B,SESForecaster,642,648
SKU_0004,2028-03,B,SESForecaster,642,648
SKU_0004,2028-04,B,SESForecaster,642,648
SKU_0004,2028-05,B,SESForecaster,642,648
SKU_0004,2028-06,B,SESForecaster,642,648
SKU_0004,2028-07,B,SESForecaster,642,648
SKU_0004,2028-08,B,SESForecaster,642,648
SKU_0004,2028-09,B,SESForecaster,642,648
SKU_0004,2028-10,B,SESForecaster,642,648
SKU_0004,2028-11,B,SESForecaster,642,648
SKU_0004,2028-12,B,SESForecaster,642,648
SKU_0005,2026-01,C,MovingAverageForecaster,631,610
SKU_0005,2026-02,C,MovingAverageForecaster,637,610
SKU_0005,2026-03,C,MovingAverageForecaster,626,610
SKU_0005,2026-04,C,MovingAverageForecaster,631,610
SKU_0005,2026-05,C,MovingAverageForecaster,631,610
SKU_0005,2026-06,C,MovingAverageForecaster,629,610
SKU_0005,2026-07,C,MovingAverageForecaster,630,610
SKU_0005,2026-08,C,MovingAverageForecaster,630,610
SKU_0005,2026-09,C,MovingAverageForecaster,630,610
SKU_0005,2026-10,C,MovingAverageForecaster,630,610
SKU_0005,2026-11,C,MovingAverageForecaster,630,610
SKU_0005,2026-12,C,MovingAverageForecaster,630,610
SKU_0005,2027-01,C,MovingAverageForecaster,630,610
SKU_0005,2027-02,C,MovingAverageForecaster,630,610
SKU_0005,2027-03,C,MovingAverageForecaster,630,610
SKU_0005,2027-04,C,MovingAverageForecaster,630,610
SKU_0005,2027-05,C,MovingAverageForecaster,630,610
SKU_0005,2027-06,C,MovingAverageForecaster,630,610
SKU_0005,2027-07,C,MovingAverageForecaster,630,610
SKU_0005,2027-08,C,MovingAverageForecaster,630,610
SKU_0005,2027-09,C,MovingAverageForecaster,630,610
SKU_0005,2027-10,C,MovingAverageForecaster,630,610
SKU_0005,2027-11,C,MovingAverageForecaster,630,610
SKU_0005,2027-12,C,MovingAverageForecaster,630,610
SKU_0005,2028-01,C,MovingAverageForecaster,630,610
SKU_0005,2028-02,C,MovingAverageForecaster,630,610
SKU_0005,2028-03,C,MovingAverageForecaster,630,610
SKU_0005,2028-04,C,MovingAverageForecaster,630,610
SKU_0005,2028-05,C,MovingAverageForecaster,630,610
SKU_0005,2028-06,C,MovingAverageForecaster,630,610
SKU_0005,2028-07,C,MovingAverageForecaster,630,610
SKU_0005,2028-08,C,MovingAverageForecaster,630,610
SKU_0005,2028-09,C,MovingAverageForecaster,630,610
SKU_0005,2028-10,C,MovingAverageForecaster,630,610
SKU_0005,2028-11,C,MovingAverageForecaster,630,610
SKU_0005,2028-12,C,MovingAverageForecaster,630,610
SKU_0006,2026-01,A,HoltWintersForecaster,165,164
SKU_0006,2026-02,A,HoltWintersForecaster,150,164
SKU_0006,2026-03,A,HoltWintersForecaster,278,164
SKU_0006,2026-04,A,HoltWintersForecaster,143,164
SKU_0006,2026-05,A,HoltWintersForecaster,134,164
SKU_0006,2026-06,A,HoltWintersForecaster,121,164
SKU_0006,2026-07,A,HoltWintersForecaster,101,164
SKU_0006,2026-08,A,HoltWintersForecaster,102,164
SKU_0006,2026-09,A,HoltWintersForecaster,104,164
SKU_0006,2026-10,A,HoltWintersForecaster,112,164
SKU_0006,2026-11,A,HoltWintersForecaster,130,164
SKU_0006,2026-12,A,HoltWintersForecaster,154,164
SKU_0006,2027-01,A,HoltWintersForecaster,168,164
SKU_0006,2027-02,A,HoltWintersForecaster,153,164
SKU_0006,2027-03,A,HoltWintersForecaster,282,164
SKU_0006,2027-04,A,HoltWintersForecaster,147,164
SKU_0006,2027-05,A,HoltWintersForecaster,138,164
SKU_0006,2027-06,A,HoltWintersForecaster,125,164
SKU_0006,2027-07,A,HoltWintersForecaster,105,164
SKU_0006,2027-08,A,HoltWintersForecaster,105,164
SKU_0006,2027-09,A,HoltWintersForecaster,107,164
SKU_0006,2027-10,A,HoltWintersForecaster,116,164
SKU_0006,2027-11,A,HoltWintersForecaster,134,164
SKU_0006,2027-12,A,HoltWintersForecaster,158,164
SKU_0006,2028-01,A,HoltWintersForecaster,172,164
SKU_0006,2028-02,A,HoltWintersForecaster,157,164
SKU_0006,2028-03,A,HoltWintersForecaster,285,164
SKU_0006,2028-04,A,HoltWintersForecaster,150,164
SKU_0006,2028-05,A,HoltWintersForecaster,141,164
SKU_0006,2028-06,A,HoltWintersForecaster,128,164
SKU_0006,2028-07,A,HoltWintersForecaster,109,164
SKU_0006,2028-08,A,HoltWintersForecaster,109,164
SKU_0006,2028-09,A,HoltWintersForecaster,111,164
SKU_0006,2028-10,A,HoltWintersForecaster,119,164
SKU_0006,2028-11,A,HoltWintersForecaster,137,164
SKU_0006,2028-12,A,HoltWintersForecaster,161,164
SKU_0007,2026-01,B,SESForecaster,2,2
SKU_0007,2026-02,B,SESForecaster,2,2
SKU_0007,2026-03,B,SESForecaster,2,2
SKU_0007,2026-04,B,SESForecaster,2,2
SKU_0007,2026-05,B,SESForecaster,2,2
SKU_0007,2026-06,B,SESForecaster,2,2
SKU_0007,2026-07,B,SESForecaster,2,2
SKU_0007,2026-08,B,SESForecaster,2,2
SKU_0007,2026-09,B,SESForecaster,2,2
SKU_0007,2026-10,B,SESForecaster,2,2
SKU_0007,2026-11,B,SESForecaster,2,2
SKU_0007,2026-12,B,SESForecaster,2,2
SKU_0007,2027-01,B,SESForecaster,2,2
SKU_0007,2027-02,B,SESForecaster,2,2
SKU_0007,2027-03,B,SESForecaster,2,2
SKU_0007,2027-04,B,SESForecaster,2,2
SKU_0007,2027-05,B,SESForecaster,2,2
SKU_0007,2027-06,B,SESForecaster,2,2
SKU_0007,2027-07,B,SESForecaster,2,2
SKU_0007,2027-08,B,SESForecaster,2,2
SKU_0007,2027-09,B,SESForecaster,2,2
SKU_0007,2027-10,B,SESForecaster,2,2
SKU_0007,2027-11,B,SESForecaster,2,2
SKU_0007,2027-12,B,SESForecaster,2,2
SKU_0007,2028-01,B,SESForecaster,2,2
SKU_0007,2028-02,B,SESForecaster,2,2
SKU_0007,2028-03,B,SESForecaster,2,2
SKU_0007,2028-04,B,SESForecaster,2,2
SKU_0007,2028-05,B,SESForecaster,2,2
SKU_0007,2028-06,B,SESForecaster,2,2
SKU_0007,2028-07,B,SESForecaster,2,2
SKU_0007,2028-08,B,SESForecaster,2,2
SKU_0007,2028-09,B,SESForecaster,2,2
SKU_0007,2028-10,B,SESForecaster,2,2
SKU_0007,2028-11,B,SESForecaster,2,2
SKU_0007,2028-12,B,SESForecaster,2,2
SKU_0008,2026-01,C,MovingAverageForecaster,1010,785
SKU_0008,2026-02,C,MovingAverageForecaster,991,785
SKU_0008,2026-03,C,MovingAverageForecaster,929,785
SKU_0008,2026-04,C,MovingAverageForecaster,976,785
SKU_0008,2026-05,C,MovingAverageForecaster,965,785
SKU_0008,2026-06,C,MovingAverageForecaster,957,785
SKU_0008,2026-07,C,MovingAverageForecaster,966,785
SKU_0008,2026-08,C,MovingAverageForecaster,963,785
SKU_0008,2026-09,C,MovingAverageForecaster,962,785
SKU_0008,2026-10,C,MovingAverageForecaster,964,785
SKU_0008,2026-11,C,MovingAverageForecaster,963,785
SKU_0008,2026-12,C,MovingAverageForecaster,963,785
SKU_0008,2027-01,C,MovingAverageForecaster,963,785
SKU_0008,2027-02,C,MovingAverageForecaster,963,785
SKU_0008,2027-03,C,MovingAverageForecaster,963,785
SKU_0008,2027-04,C,MovingAverageForecaster,963,785
SKU_0008,2027-05,C,MovingAverageForecaster,963,785
SKU_0008,2027-06,C,MovingAverageForecaster,963,785
SKU_0008,2027-07,C,MovingAverageForecaster,963,785
SKU_0008,2027-08,C,MovingAverageForecaster,963,785
SKU_0008,2027-09,C,MovingAverageForecaster,963,785
SKU_0008,2027-10,C,MovingAverageForecaster,963,785
SKU_0008,2027-11,C,MovingAverageForecaster,963,785
SKU_0008,2027-12,C,MovingAverageForecaster,963,785
SKU_0008,2028-01,C,MovingAverageForecaster,963,785
SKU_0008,2028-02,C,MovingAverageForecaster,963,785
SKU_0008,2028-03,C,MovingAverageForecaster,963,785
SKU_0008,2028-04,C,MovingAverageForecaster,963,785
SKU_0008,2028-05,C,MovingAverageForecaster,963,785
SKU_0008,2028-06,C,MovingAverageForecaster,963,785
SKU_0008,2028-07,C,MovingAverageForecaster,963,785
SKU_0008,2028-08,C,MovingAverageForecaster,963,785
SKU_0008,2028-09,C,MovingAverageForecaster,963,785
SKU_0008,2028-10,C,MovingAverageForecaster,963,785
SKU_0008,2028-11,C,MovingAverageForecaster,963,785
SKU_0008,2028-12,C,MovingAverageForecaster,963,785
SKU_0009,2026-01,A,HoltWintersForecaster,3,0
SKU_0009,2026-02,A,HoltWintersForecaster,0,0
SKU_0009,2026-03,A,HoltWintersForecaster,0,0
SKU_0009,2026-04,A,HoltWintersForecaster,0,0
SKU_0009,2026-05,A,HoltWintersForecaster,0,0
SKU_0009,2026-06,A,HoltWintersForecaster,1,0
SKU_0009,2026-07,A,HoltWintersForecaster,0,0
SKU_0009,2026-08,A,HoltWintersForecaster,2,0
SKU_0009,2026-09,A,HoltWintersForecaster,0,0
SKU_0009,2026-10,A,HoltWintersForecaster,0,0
SKU_0009,2026-11,A,HoltWintersForecaster,0,0
SKU_0009,2026-12,A,HoltWintersForecaster,1,0
SKU_0009,2027-01,A,HoltWintersForecaster,2,0
SKU_0009,2027-02,A,HoltWintersForecaster,0,0
SKU_0009,2027-03,A,HoltWintersForecaster,0,0
SKU_0009,2027-04,A,HoltWintersForecaster,0,0
SKU_0009,2027-05,A,HoltWintersForecaster,0,0
SKU_0009,2027-06,A,HoltWintersForecaster,0,0
SKU_0009,2027-07,A,HoltWintersForecaster,0,0
SKU_0009,2027-08,A,HoltWintersForecaster,1,0
SKU_0009,2027-09,A,HoltWintersForecaster,0,0
SKU_0009,2027-10,A,HoltWintersForecaster,0,0
SKU_0009,2027-11,A,HoltWintersForecaster,0,0
SKU_0009,2027-12,A,HoltWintersForecaster,0,0
SKU_0009,2028-01,A,HoltWintersForecaster,0,0
SKU_0009,2028-02,A,HoltWintersForecaster,0,0
SKU_0009,2028-03,A,HoltWintersForecaster,0,0
SKU_0009,2028-04,A,HoltWintersForecaster,0,0
SKU_0009,2028-05,A,HoltWintersForecaster,0,0
SKU_0009,2028-06,A,HoltWintersForecaster,0,0
SKU_0009,2028-07,A,HoltWintersForecaster,0,0
SKU_0009,2028-08,A,HoltWintersForecaster,0,0
SKU_0009,2028-09,A,HoltWintersForecaster,0,0
SKU_0009,2028-10,A,HoltWintersForecaster,0,0
SKU_0009,2028-11,A,HoltWintersForecaster,0,0
SKU_0009,2028-12,A,HoltWintersForecaster,0,0
SKU_0010,2026-01,B,SESForecaster,4365,4876
SKU_0010,2026-02,B,SESForecaster,4365,4876
SKU_0010,2026-03,B,SESForecaster,4365,4876
SKU_0010,2026-04,B,SESForecaster,4365,4876
SKU_0010,2026-05,B,SESForecaster,4365,4876
SKU_0010,2026-06,B,SESForecaster,4365,4876
SKU_0010,2026-07,B,SESForecaster,4365,4876
SKU_0010,2026-08,B,SESForecaster,4365,4876
SKU_0010,2026-09,B,SESForecaster,4365,4876
SKU_0010,2026-10,B,SESForecaster,4365,4876
SKU_0010,2026-11,B,SESForecaster,4365,4876
SKU_0010,2026-12,B,SESForecaster,4365,4876
SKU_0010,2027-01,B,SESForecaster,4365,4876
SKU_0010,2027-02,B,SESForecaster,4365,4876
SKU_0010,2027-03,B,SESForecaster,4365,4876
SKU_0010,2027-04,B,SESForecaster,4365,4876
SKU_0010,2027-05,B,SESForecaster,4365,4876
